,1,2,5,10,25
"Белый, alpha = 1",0.500 ± 0.000,0.507 ± 0.005,0.529 ± 0.009,0.503 ± 0.003,0.500 ± 0.000
"Розовый, alpha = 1",0.507 ± 0.003,0.508 ± 0.003,0.506 ± 0.003,0.514 ± 0.004,0.514 ± 0.003
"Красный, alpha = 1",0.578 ± 0.012,0.579 ± 0.015,0.556 ± 0.015,0.572 ± 0.013,0.576 ± 0.011
"Белый, alpha = 2",0.500 ± 0.001,0.534 ± 0.005,0.539 ± 0.007,0.510 ± 0.002,0.502 ± 0.001
"Розовый, alpha = 2",0.567 ± 0.009,0.573 ± 0.008,0.580 ± 0.008,0.587 ± 0.007,0.603 ± 0.007
"Красный, alpha = 2",0.758 ± 0.012,0.761 ± 0.010,0.759 ± 0.011,0.768 ± 0.010,0.771 ± 0.009
"Синий, alpha = 2",0.515 ± 0.003,0.600 ± 0.008,0.579 ± 0.011,0.534 ± 0.008,0.507 ± 0.003
"Фиолетовый, alpha = 2",0.607 ± 0.015,0.712 ± 0.008,0.690 ± 0.012,0.644 ± 0.009,0.580 ± 0.014
"Белый, alpha = 3",0.498 ± 0.003,0.603 ± 0.005,0.602 ± 0.007,0.547 ± 0.004,0.512 ± 0.003
"Розовый, alpha = 3",0.587 ± 0.009,0.594 ± 0.008,0.631 ± 0.005,0.627 ± 0.006,0.635 ± 0.006
"Красный, alpha = 3",0.777 ± 0.012,0.778 ± 0.012,0.782 ± 0.011,0.791 ± 0.011,0.792 ± 0.009
"Синий, alpha = 3",0.504 ± 0.002,0.698 ± 0.009,0.662 ± 0.009,0.587 ± 0.007,0.525 ± 0.003
"Фиолетовый, alpha = 3",0.531 ± 0.006,0.721 ± 0.007,0.660 ± 0.014,0.598 ± 0.011,0.541 ± 0.009
"Белый, alpha = 4.5",0.498 ± 0.004,0.668 ± 0.010,0.638 ± 0.011,0.574 ± 0.010,0.516 ± 0.006
"Розовый, alpha = 4.5",0.564 ± 0.007,0.578 ± 0.009,0.587 ± 0.009,0.592 ± 0.007,0.597 ± 0.008
"Красный, alpha = 4.5",0.780 ± 0.011,0.794 ± 0.009,0.797 ± 0.011,0.811 ± 0.008,0.814 ± 0.007
"Синий, alpha = 4.5",0.511 ± 0.005,0.774 ± 0.005,0.756 ± 0.008,0.681 ± 0.007,0.591 ± 0.007
"Фиолетовый, alpha = 4.5",0.549 ± 0.006,0.806 ± 0.005,0.786 ± 0.010,0.733 ± 0.012,0.657 ± 0.013
"Белый, alpha = 9.42477796076938",0.501 ± 0.001,0.525 ± 0.007,0.507 ± 0.002,0.500 ± 0.001,0.501 ± 0.001
"Розовый, alpha = 9.42477796076938",0.508 ± 0.003,0.512 ± 0.004,0.509 ± 0.003,0.512 ± 0.004,0.515 ± 0.004
"Красный, alpha = 9.42477796076938",0.693 ± 0.015,0.707 ± 0.017,0.718 ± 0.019,0.709 ± 0.016,0.731 ± 0.018
"Синий, alpha = 9.42477796076938",0.501 ± 0.001,0.775 ± 0.009,0.654 ± 0.012,0.554 ± 0.008,0.510 ± 0.003
"Фиолетовый, alpha = 9.42477796076938",0.506 ± 0.002,0.835 ± 0.004,0.760 ± 0.010,0.650 ± 0.011,0.543 ± 0.005
