,1,2,5,10,25
"Белый, alpha = 1",0.985 ± 0.002,0.982 ± 0.003,0.980 ± 0.003,0.980 ± 0.003,0.989 ± 0.000
"Розовый, alpha = 1",0.891 ± 0.010,0.903 ± 0.009,0.879 ± 0.008,0.873 ± 0.005,0.868 ± 0.002
"Красный, alpha = 1",0.864 ± 0.007,0.859 ± 0.006,0.843 ± 0.005,0.848 ± 0.005,0.849 ± 0.004
"Белый, alpha = 2",0.786 ± 0.021,0.723 ± 0.004,0.727 ± 0.006,0.701 ± 0.003,0.694 ± 0.003
"Розовый, alpha = 2",0.628 ± 0.008,0.634 ± 0.008,0.642 ± 0.008,0.649 ± 0.008,0.665 ± 0.008
"Красный, alpha = 2",0.767 ± 0.012,0.769 ± 0.010,0.769 ± 0.011,0.776 ± 0.009,0.780 ± 0.009
"Синий, alpha = 2",0.820 ± 0.006,0.857 ± 0.004,0.849 ± 0.006,0.837 ± 0.008,0.878 ± 0.013
"Фиолетовый, alpha = 2",0.910 ± 0.005,0.938 ± 0.003,0.933 ± 0.003,0.923 ± 0.003,0.906 ± 0.006
"Белый, alpha = 3",0.524 ± 0.004,0.649 ± 0.006,0.648 ± 0.007,0.586 ± 0.005,0.546 ± 0.004
"Розовый, alpha = 3",0.586 ± 0.009,0.593 ± 0.008,0.631 ± 0.005,0.626 ± 0.006,0.635 ± 0.006
"Красный, alpha = 3",0.794 ± 0.010,0.795 ± 0.010,0.798 ± 0.009,0.809 ± 0.009,0.806 ± 0.008
"Синий, alpha = 3",0.636 ± 0.019,0.783 ± 0.007,0.760 ± 0.009,0.690 ± 0.007,0.634 ± 0.012
"Фиолетовый, alpha = 3",0.699 ± 0.011,0.835 ± 0.005,0.796 ± 0.010,0.749 ± 0.009,0.707 ± 0.012
"Белый, alpha = 4.5",0.497 ± 0.004,0.668 ± 0.010,0.638 ± 0.012,0.574 ± 0.010,0.516 ± 0.006
"Розовый, alpha = 4.5",0.593 ± 0.008,0.607 ± 0.009,0.615 ± 0.009,0.622 ± 0.007,0.627 ± 0.008
"Красный, alpha = 4.5",0.829 ± 0.011,0.839 ± 0.010,0.843 ± 0.010,0.854 ± 0.008,0.853 ± 0.007
"Синий, alpha = 4.5",0.509 ± 0.005,0.778 ± 0.005,0.759 ± 0.008,0.683 ± 0.008,0.592 ± 0.007
"Фиолетовый, alpha = 4.5",0.554 ± 0.006,0.816 ± 0.005,0.797 ± 0.010,0.745 ± 0.012,0.666 ± 0.014
"Белый, alpha = 9.42477796076938",0.725 ± 0.024,0.665 ± 0.007,0.647 ± 0.003,0.639 ± 0.003,0.641 ± 0.003
"Розовый, alpha = 9.42477796076938",0.722 ± 0.015,0.706 ± 0.010,0.694 ± 0.004,0.696 ± 0.004,0.709 ± 0.010
"Красный, alpha = 9.42477796076938",0.886 ± 0.009,0.892 ± 0.008,0.898 ± 0.009,0.896 ± 0.007,0.902 ± 0.006
"Синий, alpha = 9.42477796076938",0.711 ± 0.024,0.839 ± 0.005,0.765 ± 0.007,0.679 ± 0.006,0.632 ± 0.003
"Фиолетовый, alpha = 9.42477796076938",0.635 ± 0.016,0.865 ± 0.003,0.827 ± 0.006,0.751 ± 0.009,0.652 ± 0.006
