,1,2,5,10,25
"Белый, alpha = 1",0.411 ± 0.045,0.402 ± 0.044,0.459 ± 0.038,0.364 ± 0.052,0.511 ± 0.000
"Розовый, alpha = 1",0.303 ± 0.045,0.371 ± 0.045,0.270 ± 0.043,0.221 ± 0.036,0.201 ± 0.020
"Красный, alpha = 1",0.386 ± 0.022,0.355 ± 0.033,0.273 ± 0.029,0.316 ± 0.023,0.321 ± 0.023
"Белый, alpha = 2",0.405 ± 0.047,0.431 ± 0.027,0.524 ± 0.031,0.401 ± 0.025,0.258 ± 0.028
"Розовый, alpha = 2",0.514 ± 0.016,0.538 ± 0.012,0.546 ± 0.014,0.564 ± 0.010,0.577 ± 0.009
"Красный, alpha = 2",0.777 ± 0.010,0.779 ± 0.008,0.779 ± 0.009,0.786 ± 0.008,0.789 ± 0.008
"Синий, alpha = 2",0.369 ± 0.036,0.534 ± 0.017,0.583 ± 0.016,0.480 ± 0.035,0.488 ± 0.032
"Фиолетовый, alpha = 2",0.520 ± 0.021,0.674 ± 0.015,0.659 ± 0.014,0.633 ± 0.012,0.562 ± 0.021
"Белый, alpha = 3",0.369 ± 0.013,0.624 ± 0.008,0.617 ± 0.012,0.518 ± 0.011,0.427 ± 0.008
"Розовый, alpha = 3",0.677 ± 0.011,0.684 ± 0.008,0.717 ± 0.006,0.712 ± 0.007,0.717 ± 0.007
"Красный, alpha = 3",0.876 ± 0.007,0.876 ± 0.008,0.878 ± 0.006,0.884 ± 0.006,0.883 ± 0.006
"Синий, alpha = 3",0.378 ± 0.028,0.703 ± 0.008,0.705 ± 0.010,0.626 ± 0.009,0.508 ± 0.016
"Фиолетовый, alpha = 3",0.452 ± 0.023,0.724 ± 0.009,0.685 ± 0.018,0.623 ± 0.018,0.555 ± 0.020
"Белый, alpha = 4.5",0.651 ± 0.009,0.761 ± 0.007,0.743 ± 0.008,0.697 ± 0.007,0.657 ± 0.006
"Розовый, alpha = 4.5",0.794 ± 0.005,0.798 ± 0.004,0.803 ± 0.004,0.802 ± 0.004,0.802 ± 0.004
"Красный, alpha = 4.5",0.919 ± 0.006,0.924 ± 0.006,0.925 ± 0.006,0.930 ± 0.005,0.931 ± 0.005
"Синий, alpha = 4.5",0.573 ± 0.006,0.824 ± 0.004,0.811 ± 0.007,0.743 ± 0.007,0.658 ± 0.006
"Фиолетовый, alpha = 4.5",0.575 ± 0.008,0.845 ± 0.005,0.833 ± 0.009,0.785 ± 0.012,0.704 ± 0.015
"Белый, alpha = 9.42477796076938",0.872 ± 0.001,0.875 ± 0.002,0.872 ± 0.001,0.870 ± 0.001,0.871 ± 0.001
"Розовый, alpha = 9.42477796076938",0.890 ± 0.002,0.890 ± 0.002,0.889 ± 0.002,0.890 ± 0.002,0.889 ± 0.002
"Красный, alpha = 9.42477796076938",0.957 ± 0.004,0.960 ± 0.003,0.961 ± 0.003,0.960 ± 0.003,0.963 ± 0.003
"Синий, alpha = 9.42477796076938",0.864 ± 0.002,0.925 ± 0.002,0.895 ± 0.002,0.873 ± 0.002,0.865 ± 0.002
"Фиолетовый, alpha = 9.42477796076938",0.855 ± 0.002,0.940 ± 0.002,0.917 ± 0.003,0.888 ± 0.003,0.865 ± 0.001
