,1,2,5,10,25
"Белый, alpha = 1",0.508 ± 0.008,0.508 ± 0.008,0.497 ± 0.001,0.497 ± 0.001,0.498 ± 0.001
"Розовый, alpha = 1",0.509 ± 0.005,0.506 ± 0.004,0.503 ± 0.003,0.497 ± 0.003,0.500 ± 0.002
"Красный, alpha = 1",0.501 ± 0.001,0.500 ± 0.001,0.500 ± 0.001,0.495 ± 0.003,0.495 ± 0.004
"Белый, alpha = 2",0.497 ± 0.001,0.498 ± 0.001,0.497 ± 0.002,0.498 ± 0.001,0.501 ± 0.002
"Розовый, alpha = 2",0.503 ± 0.003,0.502 ± 0.003,0.499 ± 0.003,0.493 ± 0.004,0.496 ± 0.003
"Красный, alpha = 2",0.502 ± 0.001,0.502 ± 0.002,0.495 ± 0.006,0.489 ± 0.009,0.497 ± 0.004
"Синий, alpha = 2",0.503 ± 0.002,0.504 ± 0.002,0.502 ± 0.002,0.501 ± 0.002,0.501 ± 0.002
"Фиолетовый, alpha = 2",0.502 ± 0.002,0.503 ± 0.002,0.502 ± 0.002,0.503 ± 0.002,0.503 ± 0.002
"Белый, alpha = 3",0.499 ± 0.002,0.497 ± 0.002,0.498 ± 0.002,0.500 ± 0.001,0.497 ± 0.002
"Розовый, alpha = 3",0.501 ± 0.002,0.501 ± 0.002,0.487 ± 0.007,0.484 ± 0.007,0.490 ± 0.003
"Красный, alpha = 3",0.503 ± 0.002,0.503 ± 0.002,0.498 ± 0.004,0.488 ± 0.010,0.504 ± 0.005
"Синий, alpha = 3",0.500 ± 0.002,0.500 ± 0.002,0.501 ± 0.002,0.498 ± 0.002,0.502 ± 0.002
"Фиолетовый, alpha = 3",0.500 ± 0.001,0.500 ± 0.001,0.500 ± 0.001,0.500 ± 0.002,0.500 ± 0.002
"Белый, alpha = 4.5",0.500 ± 0.003,0.500 ± 0.003,0.499 ± 0.002,0.497 ± 0.002,0.496 ± 0.002
"Розовый, alpha = 4.5",0.497 ± 0.003,0.496 ± 0.002,0.498 ± 0.002,0.499 ± 0.002,0.499 ± 0.003
"Красный, alpha = 4.5",0.496 ± 0.004,0.495 ± 0.004,0.484 ± 0.007,0.475 ± 0.009,0.483 ± 0.008
"Синий, alpha = 4.5",0.501 ± 0.001,0.501 ± 0.001,0.500 ± 0.002,0.499 ± 0.001,0.500 ± 0.001
"Фиолетовый, alpha = 4.5",0.501 ± 0.001,0.502 ± 0.001,0.500 ± 0.002,0.500 ± 0.001,0.500 ± 0.002
"Белый, alpha = 9.42477796076938",0.506 ± 0.003,0.503 ± 0.002,0.505 ± 0.003,0.504 ± 0.003,0.498 ± 0.003
"Розовый, alpha = 9.42477796076938",0.499 ± 0.002,0.498 ± 0.003,0.501 ± 0.003,0.503 ± 0.004,0.502 ± 0.002
"Красный, alpha = 9.42477796076938",0.503 ± 0.001,0.503 ± 0.001,0.502 ± 0.005,0.500 ± 0.006,0.494 ± 0.005
"Синий, alpha = 9.42477796076938",0.499 ± 0.002,0.500 ± 0.002,0.503 ± 0.003,0.500 ± 0.002,0.497 ± 0.002
"Фиолетовый, alpha = 9.42477796076938",0.503 ± 0.002,0.504 ± 0.001,0.502 ± 0.001,0.500 ± 0.002,0.501 ± 0.001
