,1,2,5,10,25
"Белый, alpha = 1",0.971 ± 0.004,0.971 ± 0.004,0.970 ± 0.004,0.970 ± 0.004,0.971 ± 0.004
"Розовый, alpha = 1",0.885 ± 0.011,0.885 ± 0.011,0.877 ± 0.011,0.862 ± 0.013,0.865 ± 0.011
"Красный, alpha = 1",0.861 ± 0.024,0.854 ± 0.024,0.854 ± 0.024,0.849 ± 0.025,0.834 ± 0.023
"Белый, alpha = 2",0.680 ± 0.010,0.681 ± 0.010,0.680 ± 0.010,0.681 ± 0.010,0.683 ± 0.010
"Розовый, alpha = 2",0.521 ± 0.023,0.518 ± 0.023,0.518 ± 0.023,0.519 ± 0.022,0.518 ± 0.023
"Красный, alpha = 2",0.497 ± 0.048,0.497 ± 0.049,0.495 ± 0.049,0.463 ± 0.041,0.473 ± 0.042
"Синий, alpha = 2",0.809 ± 0.005,0.811 ± 0.005,0.809 ± 0.005,0.808 ± 0.005,0.813 ± 0.008
"Фиолетовый, alpha = 2",0.902 ± 0.008,0.903 ± 0.008,0.902 ± 0.009,0.902 ± 0.008,0.902 ± 0.008
"Белый, alpha = 3",0.518 ± 0.010,0.516 ± 0.009,0.516 ± 0.010,0.517 ± 0.010,0.512 ± 0.009
"Розовый, alpha = 3",0.352 ± 0.017,0.350 ± 0.017,0.363 ± 0.016,0.367 ± 0.017,0.348 ± 0.017
"Красный, alpha = 3",0.341 ± 0.048,0.340 ± 0.048,0.325 ± 0.045,0.338 ± 0.048,0.351 ± 0.046
"Синий, alpha = 3",0.587 ± 0.007,0.587 ± 0.007,0.588 ± 0.007,0.586 ± 0.007,0.590 ± 0.007
"Фиолетовый, alpha = 3",0.648 ± 0.008,0.648 ± 0.008,0.648 ± 0.008,0.647 ± 0.008,0.648 ± 0.007
"Белый, alpha = 4.5",0.359 ± 0.009,0.358 ± 0.008,0.353 ± 0.007,0.346 ± 0.009,0.335 ± 0.012
"Розовый, alpha = 4.5",0.234 ± 0.011,0.232 ± 0.011,0.233 ± 0.011,0.254 ± 0.018,0.270 ± 0.020
"Красный, alpha = 4.5",0.212 ± 0.044,0.209 ± 0.044,0.217 ± 0.039,0.209 ± 0.034,0.200 ± 0.033
"Синий, alpha = 4.5",0.379 ± 0.009,0.380 ± 0.009,0.378 ± 0.009,0.376 ± 0.008,0.376 ± 0.008
"Фиолетовый, alpha = 4.5",0.440 ± 0.017,0.441 ± 0.017,0.440 ± 0.017,0.443 ± 0.016,0.430 ± 0.009
"Белый, alpha = 9.42477796076938",0.162 ± 0.010,0.156 ± 0.009,0.149 ± 0.009,0.155 ± 0.014,0.145 ± 0.015
"Розовый, alpha = 9.42477796076938",0.133 ± 0.018,0.115 ± 0.015,0.195 ± 0.035,0.197 ± 0.030,0.172 ± 0.025
"Красный, alpha = 9.42477796076938",0.116 ± 0.022,0.116 ± 0.022,0.205 ± 0.050,0.223 ± 0.045,0.154 ± 0.025
"Синий, alpha = 9.42477796076938",0.173 ± 0.013,0.175 ± 0.014,0.171 ± 0.013,0.165 ± 0.015,0.141 ± 0.011
"Фиолетовый, alpha = 9.42477796076938",0.205 ± 0.027,0.189 ± 0.022,0.189 ± 0.022,0.160 ± 0.014,0.168 ± 0.016
