,1,2,5,10,25
"Белый, alpha = 1",0.143 ± 0.046,0.143 ± 0.046,0.110 ± 0.044,0.110 ± 0.044,0.110 ± 0.044
"Розовый, alpha = 1",0.207 ± 0.042,0.204 ± 0.044,0.186 ± 0.045,0.159 ± 0.042,0.154 ± 0.040
"Красный, alpha = 1",0.198 ± 0.046,0.181 ± 0.046,0.167 ± 0.044,0.151 ± 0.040,0.097 ± 0.025
"Белый, alpha = 2",0.197 ± 0.034,0.196 ± 0.034,0.183 ± 0.035,0.194 ± 0.035,0.186 ± 0.037
"Розовый, alpha = 2",0.408 ± 0.042,0.396 ± 0.041,0.396 ± 0.042,0.336 ± 0.034,0.335 ± 0.038
"Красный, alpha = 2",0.526 ± 0.050,0.523 ± 0.050,0.499 ± 0.054,0.462 ± 0.053,0.447 ± 0.053
"Синий, alpha = 2",0.163 ± 0.031,0.182 ± 0.032,0.143 ± 0.024,0.131 ± 0.022,0.166 ± 0.035
"Фиолетовый, alpha = 2",0.271 ± 0.057,0.280 ± 0.056,0.271 ± 0.057,0.278 ± 0.056,0.276 ± 0.056
"Белый, alpha = 3",0.378 ± 0.038,0.363 ± 0.039,0.370 ± 0.038,0.369 ± 0.039,0.339 ± 0.042
"Розовый, alpha = 3",0.491 ± 0.047,0.497 ± 0.047,0.463 ± 0.039,0.443 ± 0.035,0.439 ± 0.043
"Красный, alpha = 3",0.648 ± 0.048,0.662 ± 0.047,0.615 ± 0.049,0.630 ± 0.042,0.632 ± 0.042
"Синий, alpha = 3",0.301 ± 0.039,0.301 ± 0.039,0.301 ± 0.040,0.307 ± 0.040,0.326 ± 0.044
"Фиолетовый, alpha = 3",0.226 ± 0.033,0.226 ± 0.031,0.225 ± 0.034,0.232 ± 0.034,0.232 ± 0.034
"Белый, alpha = 4.5",0.496 ± 0.026,0.513 ± 0.024,0.495 ± 0.028,0.476 ± 0.030,0.447 ± 0.025
"Розовый, alpha = 4.5",0.645 ± 0.035,0.638 ± 0.036,0.656 ± 0.036,0.657 ± 0.036,0.647 ± 0.035
"Красный, alpha = 4.5",0.663 ± 0.046,0.646 ± 0.048,0.658 ± 0.044,0.630 ± 0.044,0.625 ± 0.044
"Синий, alpha = 4.5",0.453 ± 0.042,0.453 ± 0.042,0.437 ± 0.040,0.429 ± 0.039,0.437 ± 0.044
"Фиолетовый, alpha = 4.5",0.506 ± 0.040,0.512 ± 0.040,0.499 ± 0.041,0.509 ± 0.042,0.462 ± 0.040
"Белый, alpha = 9.42477796076938",0.745 ± 0.031,0.749 ± 0.025,0.738 ± 0.033,0.714 ± 0.038,0.693 ± 0.038
"Розовый, alpha = 9.42477796076938",0.787 ± 0.027,0.750 ± 0.035,0.799 ± 0.025,0.791 ± 0.026,0.787 ± 0.032
"Красный, alpha = 9.42477796076938",0.897 ± 0.027,0.898 ± 0.026,0.892 ± 0.027,0.880 ± 0.027,0.859 ± 0.029
"Синий, alpha = 9.42477796076938",0.649 ± 0.034,0.670 ± 0.036,0.679 ± 0.038,0.675 ± 0.038,0.650 ± 0.041
"Фиолетовый, alpha = 9.42477796076938",0.763 ± 0.036,0.773 ± 0.036,0.768 ± 0.037,0.741 ± 0.038,0.758 ± 0.035
